QTY,PRODUCT,COST,LINK,SUPPLIER
5,USB HUB PCB's ,30.4,jlcpcb.com,JLCPCB
1,USB A Male Port,2.07,https://www.amazon.in/dp/B07D7FYVYT?ref=ppx_yo2ov_dt_b_fed_asin_title,Amazon
